ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
486,Kodak Pk,Wenatchee,"Snohomish, WA",6121,47.98726,121.129443,T29N_R14E_S29_WM,"Benchmark Mountain, WA",G.B.C.,8/25/1934,,
487,Koppen Mtn,Wenatchee,"Kittitas, WA",6031,47.40684,120.958629,T22N_R15E_S9_WM,"Mount Stuart, WA",R.L.C.,8/29/1934,,
488,Lake Bu,Malheur,"Grant, OR",6227,44.58003,118.915632,T11S_R32E_S30_WM,"Magone Lake, OR",OSBORNE,9/18/1935,,
489,Lake Mtn,Siskiyou,"Josephine, OR",6668,42.08999,123.359382,T40S_R6W_S13_WM,"Grayback Mountain, OR",RITTENHOUSE,4/25/1934,,
490,Lake O The Woods,Siskiyou,"Curry, OR",3419,42.593795,124.128045,T34S_R12W_S33_WM,"Soldier Camp Mountain, OR",SNYDER,4/3/1934,,
491,Lakes,Whitman,"Grant, OR",8522,44.9436,118.243053,T7S_R36E_S24_WM,"Anthony Lakes, OR",_,10/1/1935,,
492,Lamb Bu,Willamette,"Lane, OR",5535,44.0805,122.068403,T17S_R6E_S22_WM,"French Mountain, OR",SARLIN,5/27/1934,,
493,Landers,Umpqua,"Douglas, OR",2441,43.247701,123.553918,T27S_R7W_S5_WM,"Callahan, OR",RITTENHOUSE,7/27/1936,,
494,Langille Rg,Gifford Pinchot,"Skamania, WA",5372,46.36404,121.827852,T10N_R8E_S9_WM,"McCoy Peak, WA",J.D.R.,7/18/1934,,
495,Larch Mtn,Mt. Hood,"Multnomah, OR",4055,45.53254,122.087466,T1N_R6E_S32_WM,"Multnomah Falls, OR",COOPER-RITTENHOUSE,11/13/1933,,
496,Larison Rk,Willamette,"Lane, OR",3607,43.711295,122.47136,T21S_R3E_S29_WM,"Oakridge, OR",BIRCHALL,9/8/1933,,
497,Laurel Hill,Mt. Hood,"Clackamas, OR",3410,45.306555,121.817852,T3S_R8E_S15_WM,"Government Camp, OR",O.E.T.,6/5/1930,,
498,Lava Bu,Deschutes,"Deschutes, OR",5016,43.91776,121.3556,T19S_R11E_S24_WM,"Lava Butte, OR",ARNST-PARTY,6/15/1933,,
499,Leecher Mtn,Chelan,"Okanogan, WA",5020,48.25062,120.002084,T32N_R23E_S19_WM,"Twisp East, WA",W.B.O.,10/11/1930,,
500,Lemei Rk,Gifford Pinchot,"Skamania, WA",5925,46.018255,121.759507,T6N_R8E_S11_WM,"Lone Butte, WA",_,10/12/1937,,
501,Lenhart Bu,Clackamas-Marion FPA,"Clackamas, OR",2117,45.34994,122.166817,T2S_R5E_S35_WM,"Cherryville, OR",R.E.R.,5/19/1940,,
502,Lenhart Bu,Mt. Hood,"Clackamas, OR",2117,45.350075,122.166752,T2S_R5E_S35_WM,"Cherryville, OR",R.E.R.,5/19/1940,,
503,Limber Jim,Whitman,"Union, OR",6270,45.144002,118.280085,T5S_R36E_S11_WM,"Little Beaver Creek, OR",ARNST,9/30/1935,,
504,Limpy Pr,Umpqua,"Douglas, OR",4872,43.23698,122.685676,T27S_R1E_S10_WM,"Quartz Mountain, OR",COOPER-SARLIN,8/15/1933,,
505,Lion Rk,Wenatchee,"Kittitas, WA",6359,47.252095,120.584961,T20N_R18E_S4_WM,"Blewett Pass, WA",J.D.R.,8/28/1934,,
506,Little Baldy,Gifford Pinchot,"Skamania, WA",3940,45.747015,122.204776,T3N_R5E_S16_WM,"Bobs Mountain, WA",COOPER,7/13/1934,,
507,Little Baldy Pk,Gifford Pinchot,"Skamania, WA",2966,45.80285,121.623168,T4N_R9E_S25_WM,"Northwestern Lake, WA",_,3/16/1936,,
508,Little Buck Mtn,Chelan,"Okanogan, WA",5375,48.38771,119.927497,T33N_R23E_S2_WM,"Loup Loup Summit, WA",G.B.C.,9/7/1934,,
509,Little Cowhorn,Willamette,"Lane, OR",1540,44.03836,122.503152,T18S_R3E_S6_WM,"Goat Point, OR",RITTENHOUSE,5/27/1934,,
510,Little Grayback,Siskiyou,"Siskiyou, CA",6163,41.977895,123.536221,T18N_R6E_S5_HM,"Polar Bear Mountain , CA",RITTENHOUSE,4/21/1934,,
511,Little Hebo,Siuslaw,"Yamhill, OR",2273,45.14494,123.751693,T5S_R9W_S11_WM,"Hebo, OR",_,9/26/1936,,
512,Little Huckleberry,Gifford Pinchot,"Skamania, WA",4781,45.885105,121.704334,T5N_R9E_S29_WM,"Little Huckleberry Mountain, WA",_,8/13/1936,,
513,Live Oak,Siskiyou,"Douglas, OR",3430,42.93783,123.621367,T30S_R8W_S26_WM,"Live Oak Mountain, OR",RITTENHOUSE,6/9/1934,,
514,Live Oak,Umpqua,"Douglas, OR",3430,42.93783,123.621367,T30S_R8W_S26_WM,"Live Oak Mountain, OR",RITTENHOUSE,7/30/1936,,
515,Logan Bu,Ochoco,"Crook, OR",5266,43.955615,120.312351,T18S_R20E_S34_WM,"Logan Butte, OR",_,8/26/1936,,
516,Logger Bu,Willamette,"Lane, OR",5783,43.55223,122.334169,T23S_R4E_S28_WM,"Groundhog Mountain, OR",BIRCHALL-RITTENHOUSE,8/21/1933,,
517,Lone Bu,Gifford Pinchot,"Skamania, WA",4780,46.054295,121.839462,T7N_R8E_S31_WM,"Lone Butte, WA",_,9/17/1937,,
518,Lone Fir Rk,Mt. Hood,"Clackamas, OR",6600,45.34089,121.711967,T3S_R9E_S6_WM,"Mount Hood South, OR",SNYDER,11/12/1933,,
519,Lone Mtn,Olympic,"Grays Harbor, WA",1173,47.46315,123.971265,T23N_R10W_S20_WM,"Lake Quinault West, WA",_,7/22/1937,,
520,Long Cr. Bu,Malheur,"Grant, OR",6206,44.66528,119.044813,T10S_R30E_S25_WM,"Long Creek, OR",OSBORNE,9/17/1935,,
521,Long Rg,Siskiyou,"Curry, OR",2090,42.244903,124.089489,T38S_R12W_S23_WM,"Quail Prairie Mountain, OR",SARLIN,4/5/1934,,
522,Lookout Mt,Mt. Baker,"Skagit, WA",5699,48.55211,121.329052,T35N_R11E_S2_WM,"Big Devil Peak, WA",_,8/21/1935,,
523,Lookout Mt. (Cedar Pt),Snoqualmie,"King, WA",2152,47.41384,121.841331,T22N_R8E_S7_WM,"North Bend, WA",_,8/3/1934,,
524,Lookout Mtn,Clackamas-Marion FPA,"Marion, OR",4432,44.87833,122.393732,T8S_R3E_S13_WM,"Mill City North, OR",S.L.M.,10/23/1935,,
525,Lookout Mtn,Mt. Hood,"Hood River, OR",6525,45.34214,121.523932,T3S_R10E_S3_WM,"Badger Lake, OR",RITTENHOUSE-SARLIN-MOE,9/30/1933,,
526,Lookout Mtn,Umpqua,"Douglas, OR",5015,43.260285,122.738745,T26S_R1E_S31_WM,"Steamboat, OR",COOPER-SARLIN,8/14/1933,,
527,Lookout Mtn,Ochoco,"Crook, OR",6650,44.308708,120.362007,T14S_R20E_S32_WM,"Lookout Mountain, OR",_,8/23/1936,,
528,Lookout Mtn,Umatilla,"Union, OR",5229,45.850515,117.789293,T4N_R40E_S3_WM,"Fry Meadow, OR",ARNST,8/4/1935,,
529,Lookout Mtn,Wallowa,"Wallowa, OR",6792,45.31193,116.727712,T3S_R49E_S8_WM,"Squirrel Prairie, OR",ARNST,9/1/1935,,
530,Lookout Mtn,Chelan,"Okanogan, WA",5515,48.31315,120.187359,T33N_R21E_S34_WM,"Twisp West, WA",W.B.O.,10/13/1930,,
531,Lookout Mtn,Gifford Pinchot,"Skamania, WA",4222,45.79955,122.104268,T4N_R6E_S29_WM,"Lookout Mountain, WA",_,7/7/1937,,
532,Lookout Mtn. N,Ochoco,"Crook, OR",6820,44.338408,120.384525,T14S_R20E_S19_WM,"Lookout Mountain, OR",W.B.O.,10/1/1929,,
533,Lookout Mtn. N,Ochoco,"Crook, OR",6320,44.326802,120.37289,T14S_R20E_S30_WM,"Lookout Mountain, OR",_,8/23/1936,,
534,Lookout Rock,Fremont,"Lake, OR",6503,42.4628,120.801403,T36S_R16E_S11_WM,"Gearhart Mountain, OR",MOE-SNYDER,7/7/1933,,
535,Lorraine Pt,Wenatchee,"Chelan, WA",5451,47.6669,121.070606,T25N_R13E_S13_WM,"Stevens Pass, WA",R.R.S.,8/12/1924,,
536,Lost Lake,Gifford Pinchot,"Lewis, WA",6359,46.611265,121.506507,T13N_R10E_S13_WM,"Packwood Lake, WA",_,7/24/1934,,
537,Lost Lake,Snoqualmie,"Lewis, WA",6359,46.611265,121.506507,T13N_R10E_S13_WM,"Packwood Lake, WA",_,1/1/1929,,
538,Lost Lake Bu,Mt. Hood,"Hood River, OR",4468,45.49556,121.795612,T1S_R8E_S11_WM,"Bull Run Lake, OR",SNYDER-ARNST,11/9/1933,,
539,Lucerne Mtn,Chelan,"Chelan, WA",7150,48.210125,120.690435,T31N_R17E_S1_WM,"Pinnacle Mountain, WA",R.R.S.,9/27/1934,,
540,Lucky Strike,Umatilla,"Umatilla, OR",5129,45.27663,118.807852,T3S_R32E_S26_WM,"Granite Meadows, OR",ARNST,7/25/1935,,
541,Lutsey Pt,Ochoco,"Crook, OR",5490,44.25733,120.260517,T15S_R21E_S19_WM,"Lookout Mountain, OR",G.B.C.,10/15/1934,,
542,Mabee Pass,Chelan,"Skagit, WA",6430,48.628145,120.783753,T36N_R17E_S7_WM,"Azurite Peak, WA",_,7/24/1936,,
543,Mace Mtn,Umpqua,"Douglas, OR",4289,43.36363,122.856133,T25S_R1W_S31_WM,"Mace Mountain, OR",RITTENHOUSE,3/20/1934,,
544,Mackey Bu,Ochoco,"Crook, OR",5631,43.78393,119.841324,T21S_R24E_S4_WM,"Mackey Butte, OR",J.D.R.,10/19/1934,,
545,Madison Bu,Umatilla,"Morrow, OR",5707,45.10732,119.474748,T5S_R27E_S29_WM,"Madison Butte, OR",ARNST,7/21/1935,,
546,Maiden Pk,Deschutes,"Deschutes, OR",7818,43.626765,121.964708,T22S_R6E_S35_WM,"The Twins, OR",MOE-BIRCHALL,7/2/1933,,
547,"Malheur, Little",Malheur,"Grant, OR",6125,44.25718,118.329782,T15S_R36E_S17_WM,"Bullrun Rock, OR",OSBORNE,9/8/1935,,
548,Maloney Mtn,Snoqualmie,"King, WA",5230,47.666975,121.346496,T25N_R11E_S14_WM,"Skykomish, WA",COOPER,8/5/1936,,
549,Marion Mtn,Willamette,"Linn, OR",5351,44.547535,121.879889,T12S_R7.5E_S3_WM,"Marion Forks, OR",SNYDER,10/1/1933,,
550,Martin,Wenatchee,"Kittitas, WA",3658,47.266311,121.311327,T21N_R12.5E_S35_WM,"Stampede Pass, WA",J.D.R.,8/7/1934,,
551,Marys Pk,Siuslaw,"Benton, OR",4097,44.504085,123.552082,T12S_R7W_S28_WM,"Marys Peak, OR",_,7/2/1937,,
552,Marys Pk. Pt. 2,Siuslaw,"Benton, OR",4942,44.508449,123.549748,T12S_R7W_S21_WM,"Marys Peak, OR",_,7/2/1937,,
553,Maxwell Bu,Willamette,"Linn, OR",6229,44.46398,121.901282,T13S_R7.5E_S9_WM,"Santiam Junction, OR",RITTENHOUSE,5/28/1934,,
554,McClure Rk,Snoqualmie,"Pierce, WA",7385,46.80833,121.722426,T15N_R9E_S_WM,"Mount Rainier East, WA",_,8/8/1934,,
555,McCoy Pk,Gifford Pinchot,"Skamania, WA",5856,46.32985,121.824012,T10N_R8E_S28_WM,"McCoy Peak, WA",J.D.R.,7/16/1934,,
556,McCue Rg,Wenatchee,"Chelan, WA",5136,47.719726,120.827097,T26N_R16E_S27_WM,"Big Jim Mountain, WA",R.R.S.,10/3/1934,,
557,McGraw,Wallowa,"Wallowa, OR",6020,45.176355,116.778049,T4S_R48E_S35_WM,"Puderbaugh Ridge, OR",ARNST,8/31/1935,,
558,McGregor Pk,Chelan,"Chelan, WA",8020,48.408165,120.79812,T34N_R16E_S36_WM,"McGregor Mountain, WA",_,9/17/1934,,
559,McIntyre Pt,Umatilla,"Umatilla, OR",5162,45.80842,118.118533,T4N_R38E_S19_WM,"Tollgate, OR",ARNST,7/31/1935,,
560,McKay Bu,Deschutes,"Deschutes, OR",5253,43.731655,121.368723,T21S_R11E_S26_WM,"Paulina Peak, OR",_,6/25/1938,,
561,Meadow Bu,Gifford Pinchot,"Klickitat, WA",3621,46.013055,121.411725,T6N_R11E_S15_WM,"King Mountain, WA",REINHARDT,7/14/1941,,
562,Meadow Mtn,Whitman,"Union, OR",7821,45.2041,117.582411,T4S_R42E_S20_WM,"China Cap, OR",ARNST,10/3/1935,,
563,Meadow Mtn,Snoqualmie,"King, WA",5414,47.29973,121.447731,T21N_R11E_S18_WM,"Lost Lake, WA",J.D.R.,8/10/1934,,
564,Medford Station,Rogue River,"Jackson, OR",1390,42.323465,122.875726,T37S_R2W_S25_WM,"Medford East, OR",N.C.W.,2/14/1930,,
565,Medical Spr,Whitman,"Union, OR",4403,45.034015,117.603576,T6S_R42E_S20_WM,"Flagstaff Butte, OR",ARNST,9/8/1935,,
566,Meyers Bu,Clackamas-Marion FPA,"Clackamas, OR",2704,44.959335,122.508779,T7S_R2E_S13_WM,"Elk Prairie, OR",S.L.M.,9/16/1936,,
567,Midnight Mtn,Chelan,"Okanogan, WA",7480,48.42723,120.431326,T34N_R19E_S23_WM,"Midnight Mountain, WA",G.B.C.,5/26/2536,,
568,Midway,Gifford Pinchot,"Skamania, WA",4443,46.35066,121.524025,T10N_R9E_S14_WM,"Green Mountain, WA",G.B.C.,7/27/1934,,
569,Mill Cr. Bu. W,Mt. Hood,"Hood River, OR",4664,45.446625,121.501694,T1S_R10E_S34_WM,"Dog River, OR",RITTENHOUSE-MOE-SALIN,11/11/1933,,
570,Mill Cr. Rg,Mt. Hood,"Wasco, OR",3414,45.507805,121.423808,T1S_R11E_S4_WM,"Ketchum Reservoir, OR",_,7/10/1937,,
571,Milton Mtn,Chelan,"Okanogan, WA",7152,48.495465,120.440273,T35N_R19E_S35_WM,"Midnight Mountain, WA",R.L.C.,9/11/1934,,
572,Miners Rg,Mt. Baker,"Snohomish, WA",6238,48.206966,121.028645,T31N_R14E_S7_WM,"Gamma Peak, WA",CLISBY,9/9/1935,,
573,Miners Rg,Snoqualmie,"Yakima, WA",6072,46.80297,121.362243,T15N_R11E_S12_WM,"Bumping Lake, WA",G.B.C.,7/19/1934,,
574,Minniece Rk,Willamette,"Linn, OR",4432,44.601855,122.235522,T11S_R5E_S19_WM,"Chimney Peak, OR",COOPER,5/25/1934,,
575,Minot Mtn,Snoqualmie,"Grays Harbor, WA",1768,46.891795,123.417424,T16N_R6W_S10_WM,"South Elma, WA",_,10/5/1934,,
576,Mislatnah,Siskiyou,"Curry, OR",3124,42.305275,124.055673,T37.5S_R11W_S31_WM,"Big Craggies, OR",SARLIN,4/6/1934,,
577,Mission Pk,Wenatchee,"Chelan, WA",6876,47.284625,120.440695,T21N_R19E_S27_WM,"Mission Peak, WA",R.R.S.,8/18/1934,,
578,Mitchell Pk,Gifford Pinchot,"Skamania, WA",3926,46.030635,122.192737,T6N_R5E_S4_WM,"Mount Mitchell, WA",RITTENHOUSE,7/5/1934,,
579,Monte Cristo,Gifford Pinchot,"Klickitat, WA",4171,45.905605,121.573969,T5N_R10E_S20_WM,"Guler Mountain, WA",_,8/14/1934,,
580,Monument 83,Chelan,"Okanogan, WA",6900,49,120.645251,T40N_R18E_S5_WM,"Frosty Creek, WA",R.L.C.,9/20/1934,,
581,Monument Peak,Willamette,"Linn, OR",4713,44.69446,122.31992,T10S_R4E_S21_WM,"Lawhead Creek, OR",COOPER,6/4/1934,,
582,Morgan Bu,Wallowa,"Wallowa, OR",6085,45.243075,116.952392,T4S_R47E_S4_WM,"Gumboot Butte, OR",_,9/6/1936,,
583,Mormon G.S.,Wallowa,"Wallowa, OR",5850,45.617567,116.628762,T2N_R50E_S31_WM,"Lord Flat, OR",_,9/8/1936,,
584,Moses Mtn,Colville,"Okanogan, WA",6774,48.37179,119.061152,T33N_R30E_S9_WM,"Moses Mountain, WA",G.B.C.,10/4/1934,,
585,Mount Steel,Olympic,"Jefferson, WA",6225,47.639535,123.335535,T25N_R5W_S_WM,"Mount Steel, WA",L.MOE,8/2/1936,,
586,Mowich Bu,Gifford Pinchot,"Skamania, WA",3513,45.79961,122.030433,T4N_R6E_S26_WM,"Lookout Mountain, WA",COOPER,7/6/1934,,
587,Mt. Aix,Snoqualmie,"Yakima, WA",7766,46.794685,121.25546,T15N_R13E_S18_WM,"Bumping Lake, WA",_,1/1/1929,,
588,Mt. Annie,Colville,"Okanogan, WA",6054,48.661265,119.053767,T37N_R30E_S33_WM,"Mount Annie, WA",A.A.,9/17/1934,,
589,Mt. Bailey,Umpqua,"Douglas, OR",8363,43.155165,122.219832,T28S_R5E_S10_WM,"Diamond Lake, OR",RITTENHOUSE,7/30/1933,,
590,Mt. Bel,Snoqualmie,"Pierce, WA",5475,46.78404,121.940057,T15N_R7E_S17_WM,"Mount Wow, WA",R.L.C.,7/19/1934,,
591,Mt. Bolivar,Siskiyou,"Coos, OR",4319,42.79145,123.8358,T32S_R10W_S14_WM,"Mount Bolivar, OR",COOPER,4/26/1934,,
592,Mt. Bonaparte,Colville,"Okanogan, WA",7258,48.78521,119.122193,T38N_R29E_S14_WM,"Mount Bonaparte, WA",A.A.,9/3/1934,,
593,Mt. Butler,Siskiyou,"Curry, OR",2939,42.767005,124.259874,T32S_R13W_S29_WM,"Mount Butler, OR",SNYDER,4/6/1934,,
594,Mt. David,Wenatchee,"Chelan, WA",7420,47.962695,120.98907,T29N_R15E_S33_WM,"Mount David, WA",R.L.C.,8/22/1934,,
595,Mt. Defiance,Mt. Hood,"Hood River, OR",4959,45.64833,121.722259,T2N_R9E_S20_WM,"Mount Defiance, OR",R.L.C.,6/23/1934,,
596,Mt. Dickinson,Olympic,"Jefferson, WA",5700,47.63918,123.375963,T25N_R5W_S_WM,"Mount Steel, WA",L. MOE,8/3/1936,,
597,Mt. Emily,Siskiyou,"Curry, OR",2926,42.102185,124.152436,T40S_R12W_S8_WM,"Mount Emily, OR",SNYDER-ARNST,4/16/1934,,
598,Mt. Emily,Umatilla,"Union, OR",6110,45.437965,118.091454,T1S_R38E_S32_WM,"Summerville, OR",ARNST,7/29/1935,,
599,Mt. Hagan,Willamette,"Lane, OR",3330,44.138675,122.410034,T16S_R3E_S35_WM,"Mount Hagan, OR",SARLIN,6/12/1934,,
600,Mt. Harris,Umatilla,"Union, OR",5357,45.44051,117.893118,T1S_R39E_S35_WM,"Imbler, OR",ARNST,7/12/1935,,
601,Mt. Hood,Mt. Hood,"Clackamas, OR",11239,45.37333,121.695575,T2S_R9E_S29_WM,"Mount Hood South, OR",R.T.C,4/11/1927,,
602,Mt. Hull,Colville,"Okanogan, WA",4617,48.895335,119.338227,T39N_R28E_S8_WM,"Mount Hull, WA",A.A.,9/16/1934,,
603,Mt. Ireland,Whitman,"Grant, OR",8321,44.83688,118.320525,T8S_R36E_S29_WM,"Mount Ireland, OR",ARNST,10/8/1935,,
604,Mt. Isabelle,Rogue River,"Jackson, OR",4494,42.30274,123.104517,T37S_R3W_S31_WM,"Mount Isabelle, OR",_,8/11/1936,,
605,Mt. Jupiter,Olympic,"Jefferson, WA",5701,47.705705,123.060871,T26N_R3W_S33_WM,"Mount Jupiter, WA",OSBORNE,8/7/1935,,
606,Mt. Lowe,Mt. Hood,"Clackamas, OR",5334,44.956145,121.973608,T7S_R7E_S17_WM,"Mount Lowe, OR",SARLIN,6/30/1934,,
607,Mt McLoughlin,Rogue River,"Jackson, OR",9495,42.44437,122.315785,T36S_R4E_S14_WM,"Mount McLoughlin, OR",MOE-SNYDER,7/21/1933,,
608,Mt. Nebo,Willamette,"Lane, OR",3263,44.15321,122.714613,T16S_R1E_S29_WM,"Mount Nebo, OR",COOPER,6/9/1934,,
609,Mt. Nebo,Wallowa,"Wallowa, OR",7518,45.1425,117.0936,T5S_R46E_S6_WM,"Lick Creek, OR",ARNST,8/25/1935,,
610,Mt. Reuben,Siskiyou,"Josephine, OR",4017,42.718555,123.596709,T33S_R8W_S12_WM,"Mount Reuben, OR",COOPER,4/18/1934,,
611,Mt. Sawyer,Snoqualmie,"King, WA",5501,47.66675,121.223969,T25N_R12E_S14_WM,"Scenic, WA",R.L.C.,8/7/1934,,
612,Mt Scott,Rogue River,"Klamath, OR",8928,42.92261,122.015622,T30S_R6E_S32_WM,"Crater Lake East, OR",BIRCHALL,7/29/1933,,
613,Mt. Stahl,Snoqualmie,"Lewis, WA",3719,46.742515,122.26936,T15N_R4E_S35_WM,"The Rockies, WA",R.R.S.,7/26/1934,,
614,Mt. Thielsen,Umpqua,"Douglas, OR",9182,43.15274,122.066602,T28S_R5.5E_S13_WM,"Mount Thielsen, OR",SNYDER-MOE,7/30/1933,,
615,Mt. Townsend,Olympic,"Jefferson, WA",6280,47.86711,123.059038,T28N_R3W_S33_WM,"Mount Townsend, WA",OSBORNE,8/27/1935,,
616,Mt. Vernon,Malheur,"Grant, OR",4040,44.42762,119.083556,T13S_R30E_S22_WM,"Mount Vernon, OR",_,7/12/1937,,
617,Mt. Wilson,Mt. Hood,"Wasco, OR",5599,45.066315,121.65811,T6S_R9E_S10_WM,"Mount Wilson, OR",SARLIN/ARNST,10/24/1933,,
618,Mt. Zion,Gifford Pinchot,"Skamania, WA",1465,45.580495,122.207157,T1N_R5E_S8_WM,"Bridal Veil, WA",RITTENHOUSE-ARNST,7/1/1934,,
619,Mt. Zion,Olympic,"Clallam, WA",4273,47.92306,123.010274,T28N_R3W_S13_WM,"Mount Zion, WA",SARLIN,6/20/1935,,
620,Muckamuck,Chelan,"Okanogan, WA",6370,48.61101,119.856798,T36N_R24E_S20_WM,"Conconully West, WA",R.M.,10/28/1930,,
621,Mule Mtn,Willamette,"Lane, OR",5470,43.81083,122.208186,T20S_R5E_S27_WM,"Blair Lake, OR",RITTENHOUSE,9/5/1933,,
622,Mule Mtn,Rogue River,"Klamath, OR",5149,42.104295,122.142552,T40S_R6E_S8_WM,"Mule Hill, OR",BIRCHALL,7/20/1933,,
623,Mule Pk,Whitman,"Union, OR",8400,45.13033,117.502984,T5S_R42E_S13_WM,"China Cap, OR",ARNST,9/7/1935,,
624,Murry Hill,Whitman,"Baker, OR",6559,44.292575,118.181383,T15S_R37E_S4_WM,"Rastus Mountain, OR",_,9/11/1936,,
625,Mutton Mtn,Snoqualmie,"Pierce, WA",6156,47.028075,121.477728,T18N_R10E_S24_WM,"Noble Knob, WA",G.B.C,8/15/1934,,
626,Nanitch Pt,Mt. Hood,"Clackamas, OR",4600,45.310525,121.730253,T3S_R8.5E_S13_WM,"Mount Hood South, OR",SNYDER-REDFIELD,3/9/1934,,
627,Nannie Rg,Gifford Pinchot,"Lewis, WA",6106,46.43408,121.44844,T11N_R11E_S16_WM,"Walupt Lake, WA",_,8/17/1936,,
628,Ned Hill,Olympic,"Clallam, WA",3464,47.96366,123.172377,T29N_R4W_S34_WM,"Tyler Peak, WA",SARLIN,6/21/1935,,
629,Nelson Knob,Chelan,"Chelan, WA",6267,48.091975,120.336813,T30N_R20E_S16_WM,"South Navarre Peak, WA",J.D.R.,8/30/1934,,
630,Nesbit,Wallowa,"Wallowa, OR",6028,45.17086,116.973874,T4S_R47E_S32_WM,"Gumboot Butte, OR",ARNST,8/24/1935,,
631,Nesmith Pt,Mt. Hood,"Multnomah, OR",3880,45.58747,122.007,T1N_R6E_S12_WM,"Multnomah Falls, OR",SNYDER-MOE-ARNST,11/13/1933,,
632,Newaukum,Snoqualmie,"Lewis, WA",2683,46.661765,122.468183,T14N_R3E_S31_WM,"Newaukum Lake, WA",R.L.C.,7/30/1934,,
633,Niagra Pt,Siuslaw,"Yamhill, OR",1724,45.214505,123.618675,T4S_R8W_S24_WM,"Springer Mountain, OR",_,10/6/1936,,
634,Nimrod Bu,Willamette,"Lane, OR",3150,44.04422,122.416637,T17S_R3E_S35_WM,"Nimrod, OR",COOPER,6/16/1934,,
635,Nine Mile,Siskiyou,"Douglas, OR",3950,42.78458,123.707081,T32S_R9W_S13_WM,"Dutchman Butte, OR",COOPER,4/19/1934,,
636,No. Twenty Mile,Chelan,"Okanogan, WA",7437,48.75143,120.068202,T38N_R22E_S34_WM,"Coleman Peak, WA",R.M.,11/4/1930,,
637,Noble Knob,Snoqualmie,"Pierce, WA",6011,47.045845,121.491892,T18N_R10E_S13_WM,"Noble Knob, WA",G.B.C.,8/15/1934,,
638,Nordrum,Snoqualmie,"King, WA",1500,47.5575,121.5389,T24N_R10E_S16_WM,"Lake Philippa, WA",J.D.R.,8/1/1934,,
639,Norse Pk,Snoqualmie,"Yakima, WA",6856,46.956585,121.452382,T17N_R11E_S18_WM,"Norse Peak, WA",_,1/1/1929,,
640,North Creek,Chelan,"Okanogan, WA",5680,48.500997,120.555198,T35N_R18E_S25_WM,"Gilbert, WA",G.B.C.,9/18/1934,,
641,North Fk. Bench,Mt. Baker,"Snohomish, WA",1720,48.10307,121.377708,T30N_R11E_S10_WM,"Bedal, WA",CLISBY,8/8/1935,,
642,North Mtn,Mt. Hood,"Clackamas, OR",4064,45.396776,121.953313,T2S_R7E_S16_WM,"Hickman Butte, OR",SNYDER-REDFIELD,2/20/1934,,
643,North Powder,Whitman,"Union, OR",3256,45.0286,117.9189,T6S_R39E_S22_WM,"North Powder, OR",_,9/9/1936,,
644,North Rg,Wenatchee,"Kittitas, WA",5930,47.132082,121.160032,T19N_R13E_S13_WM,"Easton, WA",J.D.R.,8/15/1934,,
645,Noti,Siuslaw,"Benton, OR",1573,44.54271,123.478564,T12S_R7W_S12_WM,"Wren, OR",_,7/25/1940,,
646,Oak Flat,Umpqua,"Douglas, OR",3843,43.290045,122.519289,T26S_R2E_S24_WM,"Illahee Rock, OR",_,8/21/1936,,
647,Oak Grove Bu,Mt. Hood,"Clackamas, OR",4623,45.048585,121.989983,T6S_R7E_S17_WM,"Mount Mitchell, OR",SARLIN,7/6/1934,,
648,Observation Pk,Gifford Pinchot,"Skamania, WA",4207,45.920305,122.024312,T5N_R6E_S14_WM,"Bare Mountain, WA",_,7/7/1937,,
649,Odell Bu,Deschutes,"Klamath, OR",7032,43.470605,121.863978,T24S_R7E_S26_WM,"Odell Butte, OR",SNYDER-SARLIN,7/1/1933,,
650,Okanogan P.O.,Chelan,"Okanogan, WA",860,48.3614,119.5822,T33N_R26E_S17_WM,"Okanogan, WA",W.B.O.,10/17/1930,,
651,Olallie Bu,Mt. Hood,"Marion, OR",7215,44.82143,121.763705,T9S_R8.5E_S2_WM,"Olallie Butte, OR",MOE-RITTENHOUSE,10/24/1933,,
652,Olallie Mtn,Willamette,"Lane, OR",5700,44.02863,122.067888,T18S_R6E_S3_WM,"French Mountain, OR",SARLIN,5/28/1934,,
653,Old Baldy,Rogue River,"Jackson, OR",6340,42.247305,122.288355,T38S_R4E_S24_WM,"Little Chinquapin Mountain, OR",N.C.W.,4/5/1930,,
654,Old Baldy Mtn,Chelan,"Okanogan, WA",7844,48.58982,119.955952,T36N_R23E_S28_WM,"Old Baldy, WA",A.A.,9/19/1934,,
655,Onion Mtn,Siskiyou,"Josephine, OR",4438,42.4544,123.6175,T36S_R8W_S11_WM,"Onion Mountain, OR",RITTENHOUSE,4/28/1934,,
656,Oregon Bu,Umatilla,"Columbia, WA",6387,46.10943,117.679268,T7N_R41E_S4_WM,"Oregon Butte, WA",ARNST,8/11/1935,,
657,Outerson Mtn,Willamette,"Marion, OR",5220,44.729355,121.949003,T10S_R7E_S4_WM,"Mount Bruno, OR",COOPER,5/21/1934,,
658,Pack Forest,Snoqualmie,"Yakima, WA",2035,46.83295,122.281144,T16N_R4E_S34_WM,"Bumping Lake, WA",G.B.C.,7/15/1934,,
